#,Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
1,沙龍開張優惠：免費修剪、焗油、洗吹、美甲同轉色，全部半價！——呢個句子入面，並列嘅服務項目之間應該用邊個符號？,、,，,；,：,20,1
2,店內告示：「唔准帶飲品入場」店長想完全禁止。邊個斷句係呢個意思？,唔准，帶飲品入場。,唔准帶飲品，入場。,唔准帶飲品入場。,唔准帶，飲品入場。,20,3
3,沙龍Equipment培訓通知：甲「培訓下週二下午3點喺二號房。請自備剪刀同圍布。缺席者須補看影片。」乙「培訓下週二。我哋沙龍開咗三年。要帶剪刀圍布。記得食飯。係下午3點。」丙「下週二有啲事，大家知道啦，帶啲嘢喇。」邊段最好？,甲,乙,丙,甲同行,30,1
4,6月10號下午兩點，柯經理同教練部開會喺一號健身室。 呢句入面，邊一項講嘅係【地點】？,6月10號下午兩點，,柯經理,同教練部開會,喺一號健身室。,20,4
5,「我現在準備出發，高鐵票幫我訂好了嗎？」（08:35） 呢條資料點處理？,必寫（工作事實）,可選（補充說明）,刪走（客套口語）,,20,1
6,「每週工作日程」應該配邊個？,辦理使用申請並記錄,記錄具體工作項目,提出修繕保養需求,登記訂購詳情,15,2
7,對白：「我想訂20盒超強牌染後洗頭水、10座日本製吹風架、20盒亮彩牌甲油。」申請表「產品名稱」欄應點填？,分行逐項寫全名,只寫「洗頭水等」「多樣」,寫金額,寫品牌就得,20,1
8,健身室須知（ ）請自備毛巾。,：,；,，,、,20,1
9,健身室白板：「老細話明日放假」職員開心，因為佢理解成？,老細話：明日放假。,老細話明日，放假。,老細話明，日放假。,明日放假，老細話。,20,1
10,健身室清潔指引，邊段最合邏輯？,先用酒精噴器械，再抹淨，最後歸位。,最後歸位，再用酒精噴器械，再抹淨。,抹淨器械，先用酒精噴，中途記得飲水。,用酒精噴器械，抹完就返屋企。,20,1
11,星期二上午，阿Jay主持咗教練例會。 邊塊先至係【做咗啲咩】？,星期二上午，,阿Jay,主持咗,教練例會。,20,3
12,「祝您一路順風！」（08:37） 呢條資料點處理？,必寫（工作事實）,可選（補充說明）,刪走（客套口語）,,20,3
13,「工具訂購申請表」應該配邊個？,登記訂購詳情,辦理使用申請並記錄,記錄具體工作項目,提出修繕保養需求,15,1
14,「一個星期左右吧，今日4月21日」—「要求送貨日期」填？,4月27日,4月21日,5月1日,寫「一星期後」,20,1
15,店長話（ ）「明日九點準時開檔！」,：,，,、,；,20,1
16,美髮師貼紙：「剪髮唔收錢係假㗎」客人想表達「剪髮係唔收錢㗎？唔，係假」—邊個斷句啱佢？,剪髮唔收錢？係假㗎！,剪髮唔收，錢係假㗎。,剪髮唔收錢係，假㗎。,剪髮唔，收錢係假㗎。,20,1
17,展覽佈展電郵節錄，邊段層次最清楚？,佈展分三步：一、九點領工作證；二、十點前完成展板定位；三、十二點前貼好標籤。,佈展嗰日好忙，我哋九點到，領咗證，跟住擺展板，後來仲貼咗標籤，其實之前講過要早啲到。,九點要領證，標籤要十二點前貼，展板就……你知啦。,佈展要早。標籤都要貼。展板擺好無？,30,1
18,4月21號，下午二點十分，客人打嚟預約。 邊塊先至係【時間】？,4月21號，,下午二點十分，,客人打嚟預約。,,20,2
19,「車票已訂妥，訂票記錄已發出郵件」 呢條資料點處理？,必寫（工作事實）,可選（補充說明）,刪走（客套口語）,,20,1
20,「設施使用預約表」應該配邊個？,提出修繕保養需求,辦理使用申請並記錄,記錄具體工作項目,登記訂購詳情,15,2
21,申請人留咗手機2667-8899。「聯絡電話」欄邊個啱？,2667-8899,唔使填,寫「見對白」,寫採購部電話,20,1
