#,Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
1,朋友訊息：「得閒飲嘢！」 呢項歸邊一類？,朋友,同事,主管／客戶,,20,1
2,陳大文是一個電腦工程師。 呢句嘅【主語】係邊一項？,陳大文,是,一個電腦工程師。,,20,1
3,「請離開現場遵守秩序各位。」 呢項歸邊一類？,語序亂（次序錯）,搭配錯（拍錯擋）,成分缺（少咗嘢）,,20,1
4,「同學們要彼此互相信任。」 邊個多餘、要刪走？,同學們,要,彼此／互相,信任。,20,3
5,重組句子第一步應該做咩？,搵主語同主要動作,由最短嘅詞開始排,估答案,,20,1
6,通告：「申請輪侯宿舍的同事，請於本週五前交回表格。」 邊個寫錯咗？,申請,輪侯,宿舍的同事，,請於本週五前交回表格。,20,2
7,「標志」 邊個寫錯咗？,標,志,,,20,2
8,「陣間搞掂，唔使驚。」 呢項歸邊一類？,朋友,同事,主管／客戶,,20,2
9,「小明正在清點工具」—【謂語】係塊？,小明,正在,清點,工具。,20,3
10,「改進錯誤。」 呢項歸邊一類？,語序亂（次序錯）,搭配錯（拍錯擋）,成分缺（少咗嘢）,,20,2
11,「6月30日是截止日期最後一天。」 邊個多餘、要刪走？,6月30日,是,截止日期／最後一天。,,20,3
12,「今天、發生的、我、事情、一想、就、睡不著」—骨架係？,我睡不著,今天事情,一想就,,20,1
13,告示：「早市期間，請尊守秩序排隊點餐。」 邊個寫錯咗？,早市期間，,請,尊,守秩序排隊點餐。,20,3
14,「以經」 邊個寫錯咗？,以,經,,,20,1
15,「請於本日下班前提交校對記錄，謝謝。」 呢項歸邊一類？,朋友,同事,主管／客戶,,20,3
16,小明正在清點工具。 同一句—【賓語】係邊一項？,小明,正在,清點,工具。,20,4
17,「為新入職員工提供培訓。」（無頭文件） 呢項歸邊一類？,語序亂（次序錯）,搭配錯（拍錯擋）,成分缺（少咗嘢）,,20,3
18,「他突然漸漸地停了下來。」 邊個多餘、要刪走？,他,突然／漸漸地,停了下來。,,20,2
19,時間詞（例如「今天下午」）通常放邊度？,主語前後都可以，放句首要加停頓,只能放句尾,只能放主語前,,20,1
20,便條：「貨倉補貨，請速聯洛。」 邊個寫錯咗？,貨倉補貨，,請,速,聯洛。,20,4
21,「編緝」 邊個寫錯咗？,編,緝,,,20,2
